DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,CLOUD_AMT,TOA_SW_DWN,PRECTOTCORR_SUM,ALLSKY_SFC_SW_DWN,Moving_Sum_6,SPI6
31/1/1981,97.82,22.08,39.25,57.25,2.52,0.57,,,0.0,,,
28/2/1981,97.63,26.39,29.56,77.38,2.44,0.54,,,0.0,,,
31/3/1981,97.55,30.1,41.06,147.19,2.17,0.52,,,5.27,,,
30/4/1981,97.46,30.56,54.75,212.19,2.57,0.52,,,52.73,,,
31/5/1981,97.65,27.81,73.25,225.06,2.16,0.52,,,100.2,,,
30/6/1981,97.8,27.66,72.5,213.81,2.23,0.54,,,189.84,,348.03999999999996,-0.3447052331098516
31/7/1981,97.83,25.2,83.19,228.88,2.1,0.61,,,268.95,,616.99,0.5184985145306477
31/8/1981,97.82,25.15,83.88,227.06,1.53,0.66,,,258.4,,875.39,1.3478416950114245
30/9/1981,97.84,25.1,83.75,215.19,1.41,0.73,,,152.93,,1023.05,1.8217612539502461
31/10/1981,97.71,26.22,75.88,190.75,1.43,0.7,,,0.0,,970.3199999999999,1.6525226088002796
30/11/1981,97.77,23.76,56.12,83.5,1.97,0.62,,,0.0,,870.1199999999999,1.3309274590937241
31/12/1981,97.76,23.72,43.56,77.12,1.92,0.57,,,0.0,,680.28,0.7216298221646582
31/1/1982,97.73,24.19,29.94,43.0,2.5,0.54,,,0.0,,411.33,-0.14157392547584083
28/2/1982,97.62,26.06,38.62,68.19,2.33,0.52,,,26.37,,179.3,-0.8862817357194734
31/3/1982,97.53,28.91,42.0,102.5,2.31,0.51,,,15.82,,42.19,-1.326340727498573
30/4/1982,97.48,30.36,57.44,231.75,2.75,0.5,,,42.19,,84.38,-1.1909305541840065
31/5/1982,97.65,27.96,72.38,226.31,2.3,0.52,,,105.47,,189.85,-0.8524211685597513
30/6/1982,97.87,26.82,75.81,215.19,2.06,0.53,,,147.66,,337.51,-0.37850160962092966
31/7/1982,97.85,25.71,78.88,216.0,1.88,0.56,,,168.75,,506.26,0.1631069883130143
31/8/1982,97.86,24.69,84.12,224.38,1.91,0.59,,,210.94,,690.8299999999999,0.7554903893243802
30/9/1982,97.81,25.95,80.12,206.94,1.44,0.62,,,142.38,,817.3899999999999,1.1616888139437576
31/10/1982,97.72,26.1,75.88,209.5,1.55,0.61,,,94.92,,870.12,1.3309274590937246
30/11/1982,97.73,24.73,51.06,86.25,1.75,0.57,,,0.0,,764.65,0.9924180734694692
31/12/1982,97.75,24.47,34.12,58.06,2.34,0.54,,,0.0,,616.99,0.5184985145306477
31/1/1983,97.99,21.89,23.69,59.0,3.68,0.52,,,0.0,,448.24,-0.023110083403296323
28/2/1983,97.66,28.72,23.5,67.75,2.62,0.51,,,0.0,,237.3,-0.7001288546518067
31/3/1983,97.6,29.63,19.5,70.0,3.22,0.49,,,0.0,,94.92,-1.1571020823486065
30/4/1983,97.44,32.04,47.69,211.44,2.21,0.49,,,26.37,,26.37,-1.3771155305759952
31/5/1983,97.5,30.64,60.19,219.56,2.59,0.49,,,110.74,,137.10999999999999,-1.02169190903404
30/6/1983,97.8,26.73,79.31,222.19,2.03,0.56,,,232.03,,369.14,-0.2769840987904073
31/7/1983,97.81,26.01,81.38,224.12,1.86,0.6,,,179.3,,548.44,0.298485066303259
31/8/1983,97.93,25.75,79.44,214.62,1.73,0.59,,,116.02,,664.46,0.6708550190872362
30/9/1983,97.84,25.52,80.12,191.0,1.56,0.61,,,179.3,,843.76,1.2463241841809023
31/10/1983,97.77,26.62,60.5,130.12,1.81,0.59,,,0.0,,817.3900000000001,1.1616888139437582
30/11/1983,97.81,26.98,41.75,103.88,1.91,0.55,,,0.0,,706.6500000000001,0.8062651924018029
31/12/1983,97.76,26.46,36.12,79.81,1.96,0.52,,,0.0,,474.62000000000006,0.061557382158170165
31/1/1984,97.72,24.73,25.69,72.0,2.54,0.51,26.62,31.68,0.0,21.18,295.32000000000005,-0.513911782935496
29/2/1984,97.52,27.1,21.31,55.56,2.65,0.5,19.55,34.34,0.0,20.72,179.30000000000007,-0.8862817357194732
31/3/1984,97.39,30.46,39.44,238.0,2.46,0.49,54.75,36.8,0.0,22.76,0.0,-1.4617509008131395
