DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,CLOUD_AMT,TOA_SW_DWN,PRECTOTCORR_SUM,ALLSKY_SFC_SW_DWN,SPI6
31/1/1981,97.89,21.77,40.88,56.19,2.44,0.54,,,0.0,,
28/2/1981,97.71,25.98,32.81,75.69,2.34,0.5,,,0.0,,
31/3/1981,97.62,29.63,41.81,136.56,2.16,0.48,,,5.27,,
30/4/1981,97.53,30.55,54.06,209.44,2.59,0.46,,,47.46,,
31/5/1981,97.72,28.02,71.69,223.0,2.32,0.47,,,89.65,,
30/6/1981,97.86,27.64,72.44,213.88,2.3,0.48,,,174.02,,-0.41853605361926804
31/7/1981,97.9,25.23,83.31,227.44,2.1,0.56,,,247.85,,0.3782081199524048
31/8/1981,97.89,25.15,83.75,224.25,1.57,0.6,,,221.48,,1.0901826995878865
30/9/1981,97.9,25.08,84.0,218.31,1.48,0.68,,,179.3,,1.6496234440973807
31/10/1981,97.78,26.26,74.88,188.88,1.44,0.64,,,0.0,,1.4970574627469204
30/11/1981,97.84,23.9,54.0,82.44,1.98,0.57,,,0.0,,1.2088665603434492
31/12/1981,97.83,24.02,41.38,79.56,1.88,0.52,,,0.0,,0.649457962058428
31/1/1982,97.79,24.15,32.62,42.69,2.39,0.48,,,0.0,,-0.14728621151324522
28/2/1982,97.69,26.1,38.19,72.62,2.35,0.47,,,21.09,,-0.7914644037344578
31/3/1982,97.59,29.25,39.31,109.62,2.43,0.45,,,5.27,,-1.3509051482439525
30/4/1982,97.54,30.43,57.12,226.12,2.79,0.45,,,47.46,,-1.1983391668934922
31/5/1982,97.72,28.18,71.38,224.38,2.35,0.46,,,110.74,,-0.8423518770757513
30/6/1982,97.94,26.7,76.69,215.62,2.1,0.49,,,163.48,,-0.31682539938562804
31/7/1982,97.92,25.79,78.38,215.25,1.91,0.52,,,137.11,,0.12393148436830412
31/8/1982,97.93,24.75,83.75,223.38,1.95,0.54,,,174.02,,0.6155436952390566
30/9/1982,97.88,26.11,78.88,209.31,1.5,0.55,,,110.74,,0.9545899247593486
31/10/1982,97.77,26.69,71.56,200.19,1.71,0.53,,,68.55,,1.0223863121736174
30/11/1982,97.8,25.13,47.94,88.25,1.88,0.5,,,0.0,,0.6663990223558764
31/12/1982,97.82,24.59,34.31,62.12,2.27,0.47,,,0.0,,0.140872544665753
31/1/1983,98.07,21.69,25.06,58.0,3.6,0.45,,,0.0,,-0.2998843390881792
28/2/1983,97.74,28.59,24.94,75.19,2.59,0.44,,,0.0,,-0.8592929373732002
31/3/1983,97.67,29.54,20.12,71.31,3.11,0.43,,,0.0,,-1.215280227190941
30/4/1983,97.49,32.58,43.31,199.19,2.31,0.43,,,10.55,,-1.4017283291362992
31/5/1983,97.56,30.98,57.94,213.81,2.72,0.43,,,110.74,,-1.0457410393185584
30/6/1983,97.86,26.61,79.88,220.5,2.09,0.52,,,242.58,,-0.26593792604433447
31/7/1983,97.88,26.06,81.0,222.06,1.92,0.55,,,179.3,,0.3104438787626093
31/8/1983,98.0,25.69,79.69,215.31,1.8,0.55,,,137.11,,0.7512007625165411
30/9/1983,97.91,25.39,80.94,194.12,1.59,0.58,,,200.39,,1.395378954737754
31/10/1983,97.85,26.18,62.62,131.38,1.74,0.56,,,0.0,,1.361464687918383
30/11/1983,97.89,26.55,44.5,104.75,1.91,0.51,,,0.0,,1.0054773981006422
